seed,n_samples,cor,model,r2_mean,r2_std,imp_V0,imp_std_V0,tr_V0,imp_V1,imp_std_V1,tr_V1
2,250,0.0,TabICL,0.9364247256001917,0.0937027340051285,3119.257617915178,2794.379043888681,1,-0.6741502803413291,0.8747507136058748,0
2,500,0.0,lr,0.7447770448993063,0.07692696121105483,2232.3510640440954,909.3920513852911,1,0.8510201480359637,1.419606326119032,0
2,500,0.0,lasso,0.7479414826440433,0.07755821422254876,2202.788835743264,894.9485135825635,1,0.34551744804634144,0.8555308232795598,0
2,500,0.0,dt,0.7832143060704251,0.3166210637396172,2631.000001796859,1353.0981384739844,1,-28.292186442431962,61.16650583665391,0
2,500,0.0,rf,0.9424323174543021,0.10534792779974163,2254.59808139841,1073.7753713598308,1,9.870154990724668,11.012899259214114,0
2,500,0.0,et,0.9448411651995456,0.08237384846786858,2468.3077321825394,1186.0853651442783,1,1.9726767530728389,11.870959943644147,0
2,500,0.0,gb,0.9270701008239257,0.08035336518545086,2480.730087170828,1193.3977953607668,1,-5.96938931149395,17.795752976523158,0
2,500,0.0,hgb,0.6822875556846942,0.1700784406748867,1591.252937652504,393.638542145713,1,34.11699937381503,52.474922756812326,0
2,500,0.0,ab,0.9201704544101229,0.08045368426323606,2271.322287526992,1179.425153344848,1,8.001836570329242,16.003673140658478,0
2,500,0.0,bag,0.935233166161154,0.09228871861098269,2347.537970640162,1148.8758732615618,1,3.826931800540469,10.16051209807516,0
2,500,0.0,mlp,0.8157164395601122,0.07235746750850511,2293.8814640457585,973.7210591934884,1,-7.661641473572963,5.574198838494833,0
2,500,0.0,svr,0.28007236932227436,0.13611053002657647,433.56428120887693,66.49832851224528,1,6.0837182740222175,8.689082318645992,0
2,500,0.0,knn,0.8726623067762939,0.1317661328513911,1821.3819859123912,834.387243177623,1,24.61051357538289,53.79681962946557,0
2,500,0.0,SuperLearner,0.7611989930807201,0.3058705647233466,2919.2118796612895,1422.2634629899521,1,19.393536571847395,44.43169774432885,0
2,500,0.0,TabICL,0.9495187476960638,0.08715520712992589,2455.377155991206,1183.2671804044471,1,-0.1532338151134769,0.211726915734129,0
2,1000,0.0,lr,0.7499043025611656,0.06972324961337063,1726.8932099569076,519.4843792267258,1,-0.6398981808891125,0.9976890954913812,0
2,1000,0.0,lasso,0.7541193336043573,0.066990537975217,1702.4012600043432,510.4695379926354,1,-0.23128110670716806,0.43183560116262965,0
2,1000,0.0,dt,0.769529622121311,0.34888772603045975,2349.794148011876,1642.2425513395476,1,-50.912204801160364,92.04413296169648,0
2,1000,0.0,rf,0.9514831543453672,0.08093568552078727,1876.8903906898781,847.5639795974017,1,-0.5455638658076818,2.8591731210455995,0
2,1000,0.0,et,0.9578673557051041,0.07315907244833814,2005.128822126307,997.0605455432819,1,-1.6431073306198307,2.3107723230832216,0
2,1000,0.0,gb,0.9240759412558619,0.08405841960047528,2143.864697473988,1212.9212545708156,1,-9.904205923980848,15.963622127107993,0
2,1000,0.0,hgb,0.7464343847255868,0.14424687281924348,1484.5060620186473,379.7935753864272,1,-12.710450790745568,21.083598368839134,0
2,1000,0.0,ab,0.9273985190590874,0.06599657591880771,1899.3803709780889,999.814422248844,1,-1.506529897863027,2.8688541925603883,0
2,1000,0.0,bag,0.9505812605090671,0.07525706081209017,1848.9343749919067,819.3679915443494,1,-0.9612612098157195,1.5327193859153385,0
2,1000,0.0,mlp,0.9276530029870447,0.04611599098089168,2030.5682617106881,841.1218846601009,1,-2.834633437924555,4.458435489254398,0
2,1000,0.0,svr,0.43371819220732044,0.24766525286917848,546.4244237051377,25.95722223497365,1,1.5729697988786167,5.466251827184038,0
2,1000,0.0,knn,0.9136024386332624,0.09129184740798144,1626.7214398103354,661.9871769948643,1,-1.566936102064021,8.337651175120032,0
2,1000,0.0,SuperLearner,0.5183989774628591,0.7688707988905583,2708.060541498314,2092.1001066857184,1,-68.00673425634827,138.51222134509123,0
2,1000,0.0,TabICL,0.9539765291694093,0.07506347177836566,2039.4280548281017,1045.748801056982,1,-0.3476312859384559,0.43127423768818335,0
2,2000,0.0,lr,0.7871200061408089,0.03719761169893763,1633.4650771261968,574.1860779106099,1,-0.08604807722984685,0.14334220843743758,0
2,2000,0.0,lasso,0.789834217261739,0.04002208795769327,1610.527547898149,563.4667405245655,1,0.0,0.0,0
2,2000,0.0,dt,0.9832353514681513,0.02247348905709543,1983.7113093590065,1094.9440103330724,1,0.18676617882516203,0.5913901732426918,0
